Index,Year,Country,UNIT,Indicator,Value
,2007,Belgium,"Current prices, million euro",Gross domestic product at market prices,"344,712.50"
,2007,Belgium,"Current prices, million euro","Value added, gross","307,959.90"
,2007,Belgium,"Current prices, million euro",Final consumption expenditure,"247,277.80"
,2007,Belgium,"Current prices, million euro",Final consumption expenditure of general government,"74,411.70"
,2007,Belgium,"Current prices, million euro",Individual consumption expenditure of general government,"45,990.40"
,2007,Belgium,"Current prices, million euro",Collective consumption expenditure of general government,"28,421.10"
,2007,Belgium,"Current prices, million euro",Household and NPISH final consumption expenditure,"172,866.10"
,2007,Belgium,"Current prices, million euro",Final consumption expenditure of households,"169,473.70"
,2007,Belgium,"Current prices, million euro",Final consumption expenditure of NPISH,"3,392.40"
,2007,Belgium,"Current prices, million euro",Actual individual consumption,"218,856.50"
,2007,Belgium,"Current prices, million euro",Gross capital formation,"84,273.40"
,2007,Belgium,"Current prices, million euro",Gross fixed capital formation,"80,094.20"
,2007,Belgium,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"4,179.20"
,2007,Belgium,"Current prices, million euro",Changes in inventories,"4,103.10"
,2007,Belgium,"Current prices, million euro",Acquisitions less disposals of valuables,76.1
,2007,Belgium,"Current prices, million euro",Exports of goods and services,"267,120.60"
,2007,Belgium,"Current prices, million euro",Exports of goods,"211,484.90"
,2007,Belgium,"Current prices, million euro",Exports of services,"55,635.70"
,2007,Belgium,"Current prices, million euro",Imports of goods and services,"253,959.30"
,2007,Belgium,"Current prices, million euro",Imports of goods,"203,797.00"
,2007,Belgium,"Current prices, million euro",Imports of services,"50,162.30"
,2007,Belgium,"Current prices, million euro",External balance of goods and services,"13,161.30"
,2007,Belgium,"Current prices, million euro",External balance - Goods,"7,687.90"
,2007,Belgium,"Current prices, million euro",External balance - Services,"5,473.40"
,2007,Belgium,"Current prices, million euro",Compensation of employees,"168,895.20"
,2007,Belgium,"Current prices, million euro",Wages and salaries,"123,503.90"
,2007,Belgium,"Current prices, million euro",Employers' social contributions,"45,391.30"
,2007,Belgium,"Current prices, million euro","Operating surplus and mixed income, gross","140,565.90"
,2007,Belgium,"Current prices, million euro",Taxes on production and imports less subsidies,"35,251.40"
,2007,Belgium,"Current prices, million euro",Taxes on production and imports,"45,199.80"
,2007,Belgium,"Current prices, million euro",Subsidies,"9,948.40"
,2007,Belgium,"Current prices, million euro",Taxes less subsidies on products,"36,752.60"
,2007,Belgium,"Current prices, million euro",Taxes on products,"39,244.40"
,2007,Belgium,"Current prices, million euro",Subsidies on products,"2,491.80"
,2007,Belgium,"Current prices, million euro",Statistical discrepancy (production approach),0
,2007,Belgium,"Current prices, million euro",Statistical discrepancy (expenditure approach),0
,2007,Belgium,"Current prices, million euro",Statistical discrepancy (income approach),0
,2007,Belgium,"Current prices, million euro",Final consumption expenditure and gross capital formation,"331,551.20"
,2007,Belgium,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","598,671.80"
,2007,Bulgaria,"Current prices, million euro",Gross domestic product at market prices,"32,449.10"
,2007,Bulgaria,"Current prices, million euro","Value added, gross","27,535.60"
,2007,Bulgaria,"Current prices, million euro",Final consumption expenditure,"27,647.60"
,2007,Bulgaria,"Current prices, million euro",Final consumption expenditure of general government,"5,414.10"
,2007,Bulgaria,"Current prices, million euro",Individual consumption expenditure of general government,"2,427.90"
,2007,Bulgaria,"Current prices, million euro",Collective consumption expenditure of general government,"2,986.20"
,2007,Bulgaria,"Current prices, million euro",Household and NPISH final consumption expenditure,"22,233.50"
,2007,Bulgaria,"Current prices, million euro",Final consumption expenditure of households,"22,126.50"
,2007,Bulgaria,"Current prices, million euro",Final consumption expenditure of NPISH,107
,2007,Bulgaria,"Current prices, million euro",Actual individual consumption,"24,661.40"
,2007,Bulgaria,"Current prices, million euro",Gross capital formation,"10,912.20"
,2007,Bulgaria,"Current prices, million euro",Gross fixed capital formation,"9,183.90"
,2007,Bulgaria,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"1,728.30"
,2007,Bulgaria,"Current prices, million euro",Changes in inventories,"1,725.30"
,2007,Bulgaria,"Current prices, million euro",Acquisitions less disposals of valuables,3
,2007,Bulgaria,"Current prices, million euro",Exports of goods and services,"16,996.90"
,2007,Bulgaria,"Current prices, million euro",Exports of goods,"11,852.20"
,2007,Bulgaria,"Current prices, million euro",Exports of services,"5,144.80"
,2007,Bulgaria,"Current prices, million euro",Imports of goods and services,"23,107.60"
,2007,Bulgaria,"Current prices, million euro",Imports of goods,"19,472.60"
,2007,Bulgaria,"Current prices, million euro",Imports of services,"3,634.90"
,2007,Bulgaria,"Current prices, million euro",External balance of goods and services,"-6,110.70"
